iter	Logloss
0	0.682207538
1	0.6716130945
2	0.6606125321
3	0.6521239258
4	0.6414438522
5	0.6322238824
6	0.623648295
7	0.6150572544
8	0.6049495253
9	0.594579847
10	0.5869981066
11	0.5775803094
12	0.568508847
13	0.5607665873
14	0.5531672793
15	0.5458652358
16	0.5372206607
17	0.5296556724
18	0.5207456885
19	0.5134177815
20	0.5068464107
21	0.4995824481
22	0.4926013778
23	0.4873985778
24	0.4813786141
25	0.4732888887
26	0.4668431599
27	0.461482369
28	0.4564431233
29	0.4512928575
30	0.4457920954
31	0.4417700191
32	0.4368882454
33	0.4323248584
34	0.4274939814
35	0.4227327792
36	0.4186292665
37	0.4136379342
38	0.4096067112
39	0.4054566694
40	0.402335225
41	0.3986050662
42	0.3947145733
43	0.3905117749
44	0.386836136
45	0.3824097105
46	0.3787323962
47	0.3759115671
48	0.3714188295
49	0.3679720545
50	0.3644871016
51	0.3621257066
52	0.3589539352
53	0.3558278745
54	0.3526566877
55	0.3488791486
56	0.3466343318
57	0.3431865928
58	0.3404689378
59	0.3382850381
60	0.3355713704
61	0.3325431675
62	0.3295434071
63	0.3270344218
64	0.3247201259
65	0.3219816314
66	0.3193879322
67	0.3167714538
68	0.314032534
69	0.3114352654
70	0.3092242915
71	0.3071903598
72	0.3048698058
73	0.3026792082
74	0.2998187141
75	0.2972663717
76	0.2949766337
77	0.2933310301
78	0.290818987
79	0.2884576416
80	0.286168265
81	0.2843867972
82	0.2827945726
83	0.2810460665
84	0.2791077613
85	0.2770545467
86	0.2742625372
87	0.2720953998
88	0.270957154
89	0.2694016477
90	0.2679274193
91	0.2659599854
92	0.2646370198
93	0.2630060724
94	0.2613102924
95	0.259722733
96	0.2584095383
97	0.2565764911
98	0.2553406705
99	0.2542185199
