iter	Passed	Remaining
0	0	78
1	1	61
2	1	56
3	2	52
4	2	50
5	3	49
6	3	46
7	3	44
8	4	43
9	4	40
10	4	39
11	5	38
12	5	37
13	5	36
14	6	35
15	6	34
16	6	33
17	7	33
18	7	32
19	7	31
20	8	31
21	8	30
22	8	29
23	9	28
24	9	28
25	9	27
26	9	26
27	10	26
28	10	26
29	11	25
30	11	25
31	11	25
32	12	24
33	12	24
34	12	24
35	13	23
36	13	23
37	14	23
38	14	22
39	15	22
40	15	22
41	15	21
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	23	16
59	24	16
60	24	15
61	25	15
62	25	15
63	26	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	31	8
78	31	8
79	31	7
80	32	7
81	32	7
82	33	6
83	33	6
84	33	5
85	34	5
86	34	5
87	34	4
88	35	4
89	35	3
90	35	3
91	36	3
92	36	2
93	36	2
94	37	1
95	37	1
96	37	1
97	38	0
98	38	0
99	38	0
