iter	Passed	Remaining
0	142	141925
1	142	71269
2	143	47688
3	144	35891
4	144	28817
5	145	24108
6	146	20736
7	146	18206
8	147	16237
9	148	14664
10	148	13377
11	149	12300
12	149	11379
13	150	10601
14	151	9931
15	151	9341
16	152	8820
17	153	8357
18	153	7942
19	154	7569
20	155	7230
21	155	6925
22	156	6645
23	157	6388
24	157	6152
25	158	5935
26	159	5733
27	159	5546
28	160	5372
29	161	5208
30	161	5055
31	162	4911
32	163	4777
33	163	4650
34	164	4531
35	164	4417
36	165	4310
37	166	4209
38	166	4113
39	167	4021
40	168	3934
41	168	3851
42	169	3779
43	170	3705
44	171	3633
45	171	3564
46	172	3498
47	173	3435
48	173	3374
49	174	3314
50	175	3258
51	175	3200
52	176	3148
53	176	3097
54	177	3049
55	178	3002
56	178	2957
57	179	2913
58	179	2870
59	180	2829
60	181	2792
61	182	2754
62	182	2717
63	183	2681
64	184	2647
65	184	2614
66	185	2582
67	186	2550
68	186	2519
69	187	2489
70	188	2460
71	188	2432
72	189	2404
73	190	2378
74	190	2351
75	191	2326
76	192	2301
77	192	2277
78	193	2254
79	194	2231
80	194	2209
81	195	2187
82	196	2165
83	196	2144
84	197	2124
85	198	2104
86	198	2084
87	199	2066
88	200	2048
89	200	2030
90	201	2012
91	202	1995
92	202	1978
93	203	1961
94	204	1945
95	204	1928
96	205	1913
97	206	1898
98	206	1882
99	207	1867
100	208	1853
101	208	1838
102	209	1824
103	210	1810
104	210	1797
105	211	1784
106	212	1771
107	213	1759
108	213	1746
109	214	1734
110	215	1722
111	215	1710
112	216	1699
113	217	1687
114	217	1676
115	218	1665
116	219	1654
117	219	1644
118	220	1634
119	221	1623
120	222	1613
121	222	1603
122	223	1593
123	224	1584
124	224	1574
125	225	1565
126	226	1555
127	226	1546
128	227	1537
129	228	1527
130	228	1518
131	229	1510
132	230	1501
133	230	1492
134	231	1484
135	232	1475
136	232	1467
137	233	1459
138	234	1452
139	235	1444
140	235	1436
141	236	1428
142	237	1420
143	237	1413
144	238	1405
145	239	1398
146	239	1390
